State,Year,Male,Female,Total Pop
Louisiana,2012,2822,3339,4529605
Maine,2012,1496,1780,1329084
Maryland,2012,3591,3821,5785496
Massachusetts,2012,4046,4207,6560595
Michigan,2012,4240,4722,9897264
Minnesota,2012,3441,3490,5313081
Mississippi,2012,2396,2071,2967620
Missouri,2012,3466,3538,5982413
Montana,2012,1492,1437,990785
Nebraska,2012,1693,1735,1827306
Nevada,2012,2600,2264,2704204
New Hampshire,2012,1785,2243,1317474
New Jersey,2012,4994,4641,8793888
New Mexico,2012,1648,2526,2055287
New York,2012,7270,6624,19398125
North Carolina,2012,6009,5857,9544249
North Dakota,2012,1151,1074,676253
Ohio,2012,5381,5098,11533561
Oklahoma,2012,2671,2257,3749005
Oregon,2012,3151,2947,3836628
Pennsylvania,2012,4938,5283,12699589
Rhode Island,2012,1457,1410,1052471
South Carolina,2012,3430,2955,4630351
South Dakota,2012,1249,1247,815871
Tennessee,2012,3987,3509,6353226
Texas,2012,8950,9442,25208897
Utah,2012,2146,2362,2766233
Vermont,2012,946,1117,625498
Virginia,2012,5301,5369,8014955
Washington,2012,3734,4557,6738714
West Virginia,2012,1672,1489,1850481
Wisconsin,2012,3111,3152,5687219
Wyoming,2012,1319,1219,562803
Puerto Rico,2012,2306,3169,3716727
Alabama,2013,3306,3547,4799277
Alaska,2013,1402,1423,720316
Arizona,2013,4340,4470,6479703
Arkansas,2013,2177,2399,2933369
California,2013,11499,10975,37659181
Colorado,2013,4150,3594,5119329
Connecticut,2013,2925,3298,3583561
Delaware,2013,1420,1379,908446
District of Columbia,2013,1327,1366,619371
Florida,2013,8592,8463,19091156
Georgia,2013,5268,5504,9810417
Hawaii,2013,1784,1859,1376298
Idaho,2013,1908,2054,1583364
Illinois,2013,5683,5500,12848554
Indiana,2013,3576,4031,6514861
Iowa,2013,2583,2717,3062553
Kansas,2013,2678,2271,2868107
Kentucky,2013,2386,2812,4361333
Louisiana,2013,3156,3309,4567968
Maine,2013,1600,1696,1328320
Maryland,2013,3716,3974,5834299
Massachusetts,2013,4915,4194,6605058
Michigan,2013,4215,4152,9886095
Minnesota,2013,3334,4033,5347740
Mississippi,2013,2219,2473,2976872
Missouri,2013,3622,3424,6007182
Montana,2013,1496,1552,998554
Nebraska,2013,1706,1859,1841625
Nevada,2013,2917,2342,2730066
New Hampshire,2013,2168,1636,1319171
New Jersey,2013,4796,6486,8832406
New Mexico,2013,2167,1906,2069706
New York,2013,7093,8141,19487053
North Carolina,2013,5059,4884,9651380
North Dakota,2013,1234,1269,689781
Ohio,2013,4885,4985,11549590
Oklahoma,2013,2097,2256,3785742
Oregon,2013,3093,3392,3868721
Pennsylvania,2013,5747,5375,12731381
Rhode Island,2013,1532,1629,1051695
South Carolina,2013,3184,3536,4679602
South Dakota,2013,1167,1150,825198
Tennessee,2013,3351,3741,6402387
Texas,2013,8747,10696,25639373
Utah,2013,1959,2330,2813673
Vermont,2013,1033,998,625904
Virginia,2013,4844,4489,8100653
Washington,2013,4276,4221,6819579
West Virginia,2013,1794,1673,1853619
Wisconsin,2013,3462,3146,5706871
Wyoming,2013,1083,1087,570134
Puerto Rico,2013,2643,3171,3682966
