State,Year,Total Population
Puerto Rico,2013,3682966
Alabama,2014,4817678
Alaska,2014,728300
Arizona,2014,6561516
Arkansas,2014,2947036
California,2014,38066920
Colorado,2014,5197580
Connecticut,2014,3592053
Delaware,2014,917060
District of Columbia,2014,633736
Florida,2014,19361792
Georgia,2014,9907756
Hawaii,2014,1392704
Idaho,2014,1599464
Illinois,2014,12868747
Indiana,2014,6542411
Iowa,2014,3078116
Kansas,2014,2882946
Kentucky,2014,4383272
Louisiana,2014,4601049
Maine,2014,1328535
Maryland,2014,5887776
Massachusetts,2014,6657291
Michigan,2014,9889024
Minnesota,2014,5383661
Mississippi,2014,2984345
Missouri,2014,6028076
Montana,2014,1006370
Nebraska,2014,1855617
Nevada,2014,2761584
New Hampshire,2014,1321069
New Jersey,2014,8874374
New Mexico,2014,2080085
New York,2014,19594330
North Carolina,2014,9750405
North Dakota,2014,704925
Ohio,2014,11560380
Oklahoma,2014,3818851
Oregon,2014,3900343
Pennsylvania,2014,12758729
Rhode Island,2014,1053252
South Carolina,2014,4727273
South Dakota,2014,834708
Tennessee,2014,6451365
Texas,2014,26092033
Utah,2014,2858111
Vermont,2014,626358
Virginia,2014,8185131
Washington,2014,6899123
West Virginia,2014,1853881
Wisconsin,2014,5724692
Wyoming,2014,575251
Puerto Rico,2014,3638965
Alabama,2015,4830620
Alaska,2015,733375
Arizona,2015,6641928
Arkansas,2015,2958208
California,2015,38421464
Colorado,2015,5278906
Connecticut,2015,3593222
Delaware,2015,926454
District of Columbia,2015,647484
Florida,2015,19645772
Georgia,2015,10006693
Hawaii,2015,1406299
Idaho,2015,1616547
Illinois,2015,12873761
Indiana,2015,6568645
Iowa,2015,3093526
Kansas,2015,2892987
Kentucky,2015,4397353
Louisiana,2015,4625253
Maine,2015,1329100
Maryland,2015,5930538
Massachusetts,2015,6705586
Michigan,2015,9900571
Minnesota,2015,5419171
Mississippi,2015,2988081
Missouri,2015,6045448
Montana,2015,1014699
Nebraska,2015,1869365
Nevada,2015,2798636
New Hampshire,2015,1324201
New Jersey,2015,8904413
New Mexico,2015,2084117
New York,2015,19673174
North Carolina,2015,9845333
North Dakota,2015,721640
Ohio,2015,11575977
Oklahoma,2015,3849733
Oregon,2015,3939233
Pennsylvania,2015,12779559
Rhode Island,2015,1053661
South Carolina,2015,4777576
South Dakota,2015,843190
Tennessee,2015,6499615
Texas,2015,26538614
Utah,2015,2903379
Vermont,2015,626604
Virginia,2015,8256630
Washington,2015,6985464
