State,year,Total Population,White (pop),Black (pop),Native/Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Native/Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
Delaware,2018,949495,654905,209892,3455,0.03867634900657718,477,26009,86315,0.69,0.221,0.004,0.0,0.001,0.027,0.091
District of Columbia,2018,684498,280469,321317,1993,0.03903298475671222,340,20143,74776,0.41,0.469,0.003,0.0,0.0,0.029,0.109
Florida,2018,20598139,15529098,3316376,58118,0.027146530082159365,12887,542340,5184720,0.754,0.161,0.003,0.0,0.001,0.026,0.252
Georgia,2018,10297484,6079976,3239300,33484,0.03908731492080978,6095,252448,968463,0.59,0.315,0.003,0.0,0.001,0.025,0.094
Idaho,2018,1687809,1527262,11536,22790,0.014076237299362665,2761,46592,209073,0.905,0.007,0.014,0.0,0.002,0.028,0.124
Hawaii,2018,1422029,355612,26266,2987,0.377518320653095,143274,341756,147962,0.25,0.018,0.002,0.0,0.101,0.24,0.104
Illinois,2018,12821497,9189185,1824125,31864,0.05387997984946687,4582,318413,2174842,0.717,0.142,0.002,0.0,0.0,0.025,0.17
Indiana,2018,6637426,5548277,619472,14925,0.021844461994755197,2818,162295,450267,0.836,0.093,0.002,0.0,0.0,0.024,0.068
Iowa,2018,3132499,2827889,109911,11549,0.02396904196936695,3129,65770,183296,0.903,0.035,0.004,0.0,0.001,0.021,0.059
Kansas,2018,2908776,2460619,169801,24050,0.028716889853326624,2143,101044,340616,0.846,0.058,0.008,0.0,0.001,0.035,0.117
Kentucky,2018,4440204,3866676,354112,9888,0.014143944737674215,2814,99826,158744,0.871,0.08,0.002,0.0,0.001,0.022,0.036
Louisiana,2018,4663616,2901106,1502916,26272,0.01712662449052409,1468,91563,234920,0.622,0.322,0.006,0.0,0.0,0.02,0.05
Maine,2018,1332813,1259217,17881,8302,0.011192117723941769,318,29208,21421,0.945,0.013,0.006,0.0,0.0,0.022,0.016
Maryland,2018,6003435,3373181,1788090,15644,0.062343808169822774,3059,199369,588912,0.562,0.298,0.003,0.0,0.001,0.033,0.098
Massachusetts,2018,6830193,5360006,510558,14493,0.0647967048661729,2329,215493,789127,0.785,0.075,0.002,0.0,0.0,0.032,0.116
Michigan,2018,9957488,7818588,1375424,53235,0.030570260290547175,2979,283718,497897,0.785,0.138,0.005,0.0,0.0,0.028,0.05
