State,year,Total Population,White (pop),Black (pop),Native/Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Native/Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
Washington,2010,6561297,5199167,229885,95212,0.06976837049138303,35706,272139,691548,0.792,0.035,0.015,0.0,0.005,0.041,0.105
West Virginia,2010,1840802,1734615,58968,3139,0.006237498655477341,529,27932,20955,0.942,0.032,0.002,0.0,0.0,0.015,0.011
Wisconsin,2010,5637947,4914551,348662,49189,0.021717479784751435,1553,94070,310549,0.872,0.062,0.009,0.0,0.0,0.017,0.055
Wyoming,2010,545579,498326,4135,12786,0.007584602779799076,242,14200,45782,0.913,0.008,0.023,0.0,0.0,0.026,0.084
Puerto Rico,2010,3762322,2761508,274843,7415,0.003299558092050601,101,310046,3716870,0.734,0.073,0.002,0.0,0.0,0.082,0.988
Alabama,2011,4747424,3307557,1244112,26399,0.011094016460295099,1256,65673,173990,0.697,0.262,0.006,0.0,0.0,0.014,0.037
Alaska,2011,700703,472504,23426,97628,0.05125138610795159,6848,55404,39212,0.674,0.033,0.139,0.0,0.01,0.079,0.056
Arizona,2011,6337373,4987541,252127,280986,0.027186343615879956,11933,172310,1864375,0.787,0.04,0.044,0.0,0.002,0.027,0.294
Arkansas,2011,2895928,2271277,449283,17239,0.012022053034467708,5031,54283,177869,0.784,0.155,0.006,0.0,0.002,0.019,0.061
California,2011,36969200,22860341,2252129,287712,0.1305213799595339,141382,1459887,13752743,0.618,0.061,0.008,0.0,0.004,0.039,0.372
Colorado,2011,4966061,4167044,195640,48201,0.027029067907140086,5798,159786,1011545,0.839,0.039,0.01,0.0,0.001,0.032,0.204
Connecticut,2011,3558172,2796198,347941,8104,0.03769013976839793,1327,82104,463407,0.786,0.098,0.002,0.0,0.0,0.023,0.13
Delaware,2011,890856,630804,188519,3109,0.03224539094982803,442,19435,70196,0.708,0.212,0.003,0.0,0.0,0.022,0.079
District of Columbia,2011,593955,231122,308516,1779,0.03497403001910919,311,11359,53372,0.389,0.519,0.003,0.0,0.001,0.019,0.09
Florida,2011,18688787,14270053,2946899,58192,0.024367713110540562,11005,382884,4122759,0.764,0.158,0.003,0.0,0.001,0.02,0.221
Georgia,2011,9600612,5849795,2922448,23979,0.032151804489130485,4653,160652,824037,0.609,0.304,0.002,0.0,0.0,0.017,0.086
Hawaii,2011,1346554,335908,21628,3198,0.3893449501468192,129157,316096,119059,0.249,0.016,0.002,0.0,0.096,0.235,0.088
Idaho,2011,1549987,1431372,8823,19584,0.012073649649964806,2425,37948,168949,0.923,0.006,0.013,0.0,0.002,0.024,0.109
Illinois,2011,12790182,9214977,1859608,25216,0.045605449554978965,3185,234125,1987211,0.72,0.145,0.002,0.0,0.0,0.018,0.155
Indiana,2011,6454254,5482893,576304,14772,0.015368778483152351,1233,131771,377169,0.85,0.089,0.002,0.0,0.0,0.02,0.058
Iowa,2011,3032266,2782349,85714,9958,0.017439433084036823,1112,52876,144158,0.918,0.028,0.003,0.0,0.0,0.017,0.048
Kansas,2011,2830985,2412703,163063,23860,0.023854594778849058,1734,85765,287599,0.852,0.058,0.008,0.0,0.001,0.03,0.102
Kentucky,2011,4316040,3808381,336628,8913,0.011064308949870715,2403,69194,124593,0.882,0.078,0.002,0.0,0.001,0.016,0.029
Louisiana,2011,4484596,2838981,1429820,28154,0.015465161187317654,1719,65516,183706,0.633,0.319,0.006,0.0,0.0,0.015,0.041
Maine,2011,1328543,1268113,13979,7124,0.010345920305176422,310,21651,17307,0.955,0.011,0.005,0.0,0.0,0.016,0.013
Maryland,2011,5736545,3397326,1683842,16603,0.05454206321052132,2708,139300,451861,0.592,0.294,0.003,0.0,0.0,0.024,0.079
Massachusetts,2011,6512227,5294754,431907,12238,0.05304206994012954,1711,155263,606922,0.813,0.066,0.002,0.0,0.0,0.024,0.093
Michigan,2011,9920621,7869573,1395245,54638,0.024658033000151906,2690,223540,432043,0.793,0.141,0.006,0.0,0.0,0.023,0.044
Minnesota,2011,5278190,4556910,264751,57271,0.03946712793590227,2129,116735,242956,0.863,0.05,0.011,0.0,0.0,0.022,0.046
Mississippi,2011,2956700,1767875,1094596,13775,0.008728311969425372,579,31426,75626,0.598,0.37,0.005,0.0,0.0,0.011,0.026
Missouri,2011,5955802,4957147,686044,22509,0.0157211404945967,5725,130116,206777,0.832,0.115,0.004,0.0,0.001,0.022,0.035
Montana,2011,982854,881905,4403,61399,0.006103653238426053,664,22936,28368,0.897,0.004,0.062,0.0,0.001,0.023,0.029
Nebraska,2011,1813061,1600661,79828,15858,0.016897942209335482,1263,39937,159550,0.883,0.044,0.009,0.0,0.001,0.022,0.088
Nevada,2011,2673396,1960913,214360,29344,0.07110020363612424,16391,96094,698713,0.733,0.08,0.011,0.0,0.006,0.036,0.261
New Hampshire,2011,1315911,1241530,14520,2688,0.02105157567647052,296,19392,36452,0.943,0.011,0.002,0.0,0.0,0.015,0.028
New Jersey,2011,8753064,6095247,1180649,20490,0.08167311469446585,2112,192130,1512251,0.696,0.135,0.002,0.0,0.0,0.022,0.173
New Mexico,2011,2037136,1467191,41082,188613,0.013358950997871521,1157,61687,934301,0.72,0.02,0.093,0.0,0.001,0.03,0.459
New York,2011,19302448,12768805,3013740,67766,0.07331437960615152,6706,441667,3356747,0.662,0.156,0.004,0.0,0.0,0.023,0.174
North Carolina,2011,9418736,6560948,2016228,108960,0.021533144150128,4725,188390,764707,0.697,0.214,0.012,0.0,0.001,0.02,0.081
North Dakota,2011,666783,602373,7231,35544,0.010037748412901948,348,10965,13210,0.903,0.011,0.053,0.0,0.001,0.016,0.02
Ohio,2011,11525536,9592249,1395378,21194,0.016527214005491807,2162,229242,345370,0.832,0.121,0.002,0.0,0.0,0.02,0.03
Oklahoma,2011,3714520,2743563,270192,258295,0.01708726834153538,4257,277969,318007,0.739,0.073,0.07,0.0,0.001,0.075,0.086
Oregon,2011,3801991,3245856,68155,57114,0.0366276511438349,13447,135010,436806,0.854,0.018,0.015,0.0,0.004,0.036,0.115
Pennsylvania,2011,12660739,10473096,1358759,18065,0.027003163085503934,2785,215515,690128,0.827,0.107,0.001,0.0,0.0,0.017,0.055
Rhode Island,2011,1053959,863294,62682,4606,0.029864539322687126,459,25028,127816,0.819,0.059,0.004,0.0,0.0,0.024,0.121
South Carolina,2011,4575864,3075318,1281627,14939,0.012363785287324973,1920,72080,222550,0.672,0.28,0.003,0.0,0.0,0.016,0.049
South Dakota,2011,807697,697042,9347,69154,0.009498611484257092,197,17451,21539,0.863,0.012,0.086,0.0,0.0,0.022,0.027
Tennessee,2011,6297991,4949985,1048714,15285,0.014365057047556912,3097,101088,277011,0.786,0.167,0.002,0.0,0.0,0.016,0.044
Texas,2011,24774187,18093212,2917108,125101,0.037924877211914156,19966,524082,9216240,0.73,0.118,0.005,0.0,0.001,0.021,0.372
Utah,2011,2715379,2426175,29056,30842,0.020205650850212805,25137,60337,344014,0.893,0.011,0.011,0.0,0.009,0.022,0.127
Vermont,2011,624958,596736,5464,1802,0.012071211185391659,155,11141,9451,0.955,0.009,0.003,0.0,0.0,0.018,0.015
Virginia,2011,7926192,5526985,1545568,25665,0.054279154479225336,5295,198171,604882,0.697,0.195,0.003,0.0,0.001,0.025,0.076
Washington,2011,6652845,5256224,233549,94243,0.07076641647295255,37084,292915,725373,0.79,0.035,0.014,0.0,0.006,0.044,0.109
West Virginia,2011,1846372,1736461,58296,3052,0.006395785897966391,456,32083,22007,0.94,0.032,0.002,0.0,0.0,0.017,0.012
Wisconsin,2011,5664893,4941085,352620,48741,0.02217694138265277,1503,101366,324238,0.872,0.062,0.009,0.0,0.0,0.018,0.057
Wyoming,2011,554697,506661,4309,12752,0.007184102311712521,204,14879,46391,0.913,0.008,0.023,0.0,0.0,0.027,0.084
Puerto Rico,2011,3742586,2695914,274200,7554,0.0031264478625207277,77,376281,3697954,0.72,0.073,0.002,0.0,0.0,0.101,0.988
Alabama,2012,4777326,3321318,1256097,26166,0.011496598724893382,1298,66839,182268,0.695,0.263,0.005,0.0,0.0,0.014,0.038
Alaska,2012,711139,477985,24219,98976,0.05339040609501096,7363,56792,40371,0.672,0.034,0.139,0.0,0.01,0.08,0.057
Arizona,2012,6410979,5085954,262284,283805,0.027702165301118596,12506,179981,1902946,0.793,0.041,0.044,0.0,0.002,0.028,0.297
Arkansas,2012,2916372,2285577,453062,17390,0.01225632395318567,5516,56104,185239,0.784,0.155,0.006,0.0,0.002,0.019,0.064
California,2012,37325068,23252553,2254160,291505,0.13185623667182603,144236,1546851,14024109,0.623,0.06,0.008,0.0,0.004,0.041,0.376
Colorado,2012,5042853,4243753,201424,49099,0.027143761676178147,6034,166828,1040478,0.842,0.04,0.01,0.0,0.001,0.033,0.206
Connecticut,2012,3572213,2802217,355660,8531,0.038730893146629274,1472,87718,480185,0.784,0.1,0.002,0.0,0.0,0.025,0.134
Delaware,2012,900131,634259,192629,2877,0.032414170826246404,377,20916,73230,0.705,0.214,0.003,0.0,0.0,0.023,0.081
District of Columbia,2012,605759,239413,309263,2143,0.035393613631823875,312,12536,56259,0.395,0.511,0.004,0.0,0.001,0.021,0.093
Florida,2012,18885152,14438364,3005551,58119,0.024600649229617,11575,409903,4247427,0.765,0.159,0.003,0.0,0.001,0.022,0.225
Georgia,2012,9714569,5903173,2970481,24937,0.03278889675908422,4498,178503,853602,0.608,0.306,0.003,0.0,0.0,0.018,0.088
Hawaii,2012,1362730,339079,22399,3079,0.38727040572967497,133873,320311,122882,0.249,0.016,0.002,0.0,0.098,0.235,0.09
Idaho,2012,1567803,1445289,8821,19376,0.012180739544445316,2213,39180,175512,0.922,0.006,0.012,0.0,0.001,0.025,0.112
Illinois,2012,12823860,9298731,1860471,26669,0.046406464200326576,2907,250627,2027384,0.725,0.145,0.002,0.0,0.0,0.02,0.158
Indiana,2012,6485530,5500814,582691,15241,0.015837256168732546,1533,136627,389094,0.848,0.09,0.002,0.0,0.0,0.021,0.06
Iowa,2012,3047646,2793432,88664,9708,0.017804561290911083,1308,56045,151027,0.917,0.029,0.003,0.0,0.0,0.018,0.05
Kansas,2012,2851183,2435253,164177,23435,0.024089299073402164,1603,88695,298636,0.854,0.058,0.008,0.0,0.001,0.031,0.105
Kentucky,2012,4340167,3823344,339228,8607,0.011446794558826884,2370,74380,131039,0.881,0.078,0.002,0.0,0.001,0.017,0.03
Louisiana,2012,4529605,2856883,1450992,28702,0.01577621006688221,1826,69984,192582,0.631,0.32,0.006,0.0,0.0,0.015,0.043
Maine,2012,1329084,1266435,14338,7168,0.010511750950278538,288,23528,17241,0.953,0.011,0.005,0.0,0.0,0.018,0.013
Maryland,2012,5785496,3408049,1700174,17323,0.055892009950400105,2419,152556,472285,0.589,0.294,0.003,0.0,0.0,0.026,0.082
Massachusetts,2012,6560595,5310948,446347,12908,0.05446975464877805,1576,167819,630406,0.81,0.068,0.002,0.0,0.0,0.026,0.096
Michigan,2012,9897264,7852317,1391269,55723,0.024813625260476025,2678,234380,438398,0.793,0.141,0.006,0.0,0.0,0.024,0.044
Minnesota,2012,5313081,4570137,271953,56770,0.0406843035142886,2087,124354,250025,0.86,0.051,0.011,0.0,0.0,0.023,0.047
Mississippi,2012,2967620,1768530,1101849,13344,0.008897028595305329,345,33496,78634,0.596,0.371,0.004,0.0,0.0,0.011,0.026
Missouri,2012,5982413,4972530,689683,22704,0.016052887020672094,5812,134300,212152,0.831,0.115,0.004,0.0,0.001,0.022,0.035
Montana,2012,990785,887924,4145,62398,0.006090120460039262,674,23879,28984,0.896,0.004,0.063,0.0,0.001,0.024,0.029
Nebraska,2012,1827306,1612538,82341,16461,0.017677389555991168,1075,39295,167155,0.882,0.045,0.009,0.0,0.001,0.022,0.091
Nevada,2012,2704204,1970074,218305,30061,0.07257033862829876,16472,103745,717835,0.729,0.081,0.011,0.0,0.006,0.038,0.265
New Hampshire,2012,1317474,1241440,15339,2470,0.021771966657406522,203,20647,37355,0.942,0.012,0.002,0.0,0.0,0.016,0.028
New Jersey,2012,8793888,6121023,1187307,21702,0.08369619899639386,2592,208220,1557680,0.696,0.135,0.002,0.0,0.0,0.024,0.177
New Mexico,2012,2055287,1492641,41634,189785,0.013066301689253131,1344,62839,952569,0.726,0.02,0.092,0.0,0.001,0.031,0.463
New York,2012,19398125,12808268,3037255,69500,0.0745195218610046,6477,474066,3425845,0.66,0.157,0.004,0.0,0.0,0.024,0.177
North Carolina,2012,9544249,6659867,2047092,110171,0.02218173478080884,4424,204471,796293,0.698,0.214,0.012,0.0,0.0,0.021,0.083
North Dakota,2012,676253,608799,8286,36160,0.010157441076046983,375,11827,14195,0.9,0.012,0.053,0.0,0.001,0.017,0.021
Ohio,2012,11533561,9577732,1403238,21447,0.0170281320747339,2164,242289,354910,0.83,0.122,0.002,0.0,0.0,0.021,0.031
Oklahoma,2012,3749005,2766297,270993,261060,0.017509445839629448,4271,287641,331057,0.738,0.072,0.07,0.0,0.001,0.077,0.088
Oregon,2012,3836628,3272707,69377,52637,0.03744225397927555,14132,140039,449888,0.853,0.018,0.014,0.0,0.004,0.037,0.117
Pennsylvania,2012,12699589,10475818,1372144,19247,0.027687982658336423,3821,232597,721899,0.825,0.108,0.002,0.0,0.0,0.018,0.057
Rhode Island,2012,1052471,859686,64711,4784,0.030274468370149868,350,26786,131316,0.817,0.061,0.005,0.0,0.0,0.025,0.125
South Carolina,2012,4630351,3108466,1290704,15122,0.01244722052388685,1791,81422,232926,0.671,0.279,0.003,0.0,0.0,0.018,0.05
South Dakota,2012,815871,701466,10331,71532,0.009879012736082052,157,17309,22778,0.86,0.013,0.088,0.0,0.0,0.021,0.028
Tennessee,2012,6353226,4982977,1060494,15991,0.014606752538001954,2765,109927,288582,0.784,0.167,0.003,0.0,0.0,0.017,0.045
Texas,2012,25208897,18670767,2972834,127794,0.038850767647628535,20671,554343,9479670,0.741,0.118,0.005,0.0,0.001,0.022,0.376
Utah,2012,2766233,2465277,29912,30823,0.020273418761181723,25766,63332,357893,0.891,0.011,0.011,0.0,0.009,0.023,0.129
Vermont,2012,625498,596251,5804,1855,0.012615547931408254,130,11631,9452,0.953,0.009,0.003,0.0,0.0,0.019,0.015
Virginia,2012,8014955,5575445,1561042,25205,0.055329069221224575,5438,219962,631669,0.696,0.195,0.003,0.0,0.001,0.027,0.079
Washington,2012,6738714,5304864,238255,93416,0.07183076771027826,39246,311316,754366,0.787,0.035,0.014,0.0,0.006,0.046,0.112
West Virginia,2012,1850481,1737369,58260,2934,0.006859838063725053,531,34700,22026,0.939,0.031,0.002,0.0,0.0,0.019,0.012
Wisconsin,2012,5687219,4961852,353470,49289,0.022779147418096612,1302,109310,335208,0.872,0.062,0.009,0.0,0.0,0.019,0.059
Wyoming,2012,562803,513021,4689,12951,0.00780379635503009,206,15445,50313,0.912,0.008,0.023,0.0,0.0,0.027,0.089
Puerto Rico,2012,3716727,2631788,282162,8608,0.0033618288348861783,44,427407,3675889,0.708,0.076,0.002,0.0,0.0,0.115,0.989
Alabama,2013,4799277,3326188,1262152,25278,0.011841575303946824,1387,72145,188294,0.693,0.263,0.005,0.0,0.0,0.015,0.039
Alaska,2013,720316,481638,25033,101273,0.05442055986539241,8013,56757,42832,0.669,0.035,0.141,0.0,0.011,0.079,0.059
Arizona,2013,6479703,5131739,270027,286953,0.02823478174848446,12607,191265,1935948,0.792,0.042,0.044,0.0,0.002,0.03,0.299
Arkansas,2013,2933369,2295446,454903,17945,0.01287802523310228,5697,58307,192264,0.783,0.155,0.006,0.0,0.002,0.02,0.066
California,2013,37659181,23467167,2255372,286397,0.13291938027011263,146290,1627359,14270345,0.623,0.06,0.008,0.0,0.004,0.043,0.379
Colorado,2013,5119329,4301096,203755,49177,0.02768312019016555,6549,175035,1064009,0.84,0.04,0.01,0.0,0.001,0.034,0.208
Connecticut,2013,3583561,2792554,361668,8770,0.039544185239207594,1304,94111,496939,0.779,0.101,0.002,0.0,0.0,0.026,0.139
Delaware,2013,908446,635474,194964,3010,0.033487956356239114,567,23066,76107,0.7,0.215,0.003,0.0,0.001,0.025,0.084
District of Columbia,2013,619371,248141,310530,1990,0.03526965259916916,233,14467,59479,0.401,0.501,0.003,0.0,0.0,0.023,0.096
Florida,2013,19091156,14568521,3056152,58390,0.024928034740274503,11258,430455,4369920,0.763,0.16,0.003,0.0,0.001,0.023,0.229
Georgia,2013,9810417,5948977,3010984,24496,0.033677671397658225,4554,193170,875849,0.606,0.307,0.002,0.0,0.0,0.02,0.089
Hawaii,2013,1376298,344488,24532,3050,0.38272452622905795,134733,327334,128171,0.25,0.018,0.002,0.0,0.098,0.238,0.093
Idaho,2013,1583364,1455692,8957,19984,0.012720385205170763,2216,39459,180901,0.919,0.006,0.013,0.0,0.001,0.025,0.114
Illinois,2013,12848554,9320910,1851524,27548,0.04747016668179158,2979,265702,2060706,0.725,0.144,0.002,0.0,0.0,0.021,0.16
Indiana,2013,6514861,5510618,592954,14975,0.016510405977963306,1852,136702,400788,0.846,0.091,0.002,0.0,0.0,0.021,0.062
Iowa,2013,3062553,2802839,91754,9440,0.018245561791093903,1389,58229,157711,0.915,0.03,0.003,0.0,0.0,0.019,0.051
Kansas,2013,2868107,2449273,164299,23958,0.02454859599031696,1887,92475,308122,0.854,0.057,0.008,0.0,0.001,0.032,0.107
Kentucky,2013,4361333,3835013,341576,8811,0.011787909797302798,2019,80523,136340,0.879,0.078,0.002,0.0,0.0,0.018,0.031
Louisiana,2013,4567968,2874235,1463345,28466,0.01608154873239042,2141,75179,202145,0.629,0.32,0.006,0.0,0.0,0.016,0.044
Maine,2013,1328320,1264047,14637,7364,0.010833985786557455,246,24073,17946,0.952,0.011,0.006,0.0,0.0,0.018,0.014
Maryland,2013,5834299,3406243,1717582,17535,0.057011133642619276,2570,162105,493310,0.584,0.294,0.003,0.0,0.0,0.028,0.085
Massachusetts,2013,6605058,5318548,454887,12956,0.05574182694535006,1876,180738,655863,0.805,0.069,0.002,0.0,0.0,0.027,0.099
Michigan,2013,9886095,7841011,1385154,54881,0.02540689726327736,2230,243968,447594,0.793,0.14,0.006,0.0,0.0,0.025,0.045
Minnesota,2013,5347740,4575991,279944,57479,0.04165516648154174,2259,132033,257144,0.856,0.052,0.011,0.0,0.0,0.025,0.048
Mississippi,2013,2976872,1769766,1106982,13030,0.009286929367470284,274,34508,81433,0.595,0.372,0.004,0.0,0.0,0.012,0.027
Missouri,2013,6007182,4984653,691128,22781,0.016473947351686696,6263,139240,219705,0.83,0.115,0.004,0.0,0.001,0.023,0.037
Montana,2013,998554,893032,4038,64426,0.006255044794773242,676,24295,30490,0.894,0.004,0.065,0.0,0.001,0.024,0.031
Nebraska,2013,1841625,1624312,84228,16408,0.018540147967148576,1254,39933,173903,0.882,0.046,0.009,0.0,0.001,0.022,0.094
Nevada,2013,2730066,1948808,224424,29446,0.07404839296925422,16841,108275,734097,0.714,0.082,0.011,0.0,0.006,0.04,0.269
New Hampshire,2013,1319171,1240404,16011,2588,0.022238966745023958,214,21829,38817,0.94,0.012,0.002,0.0,0.0,0.017,0.029
New Jersey,2013,8832406,6108784,1197753,20482,0.08566952198528917,2610,217263,1603510,0.692,0.136,0.002,0.0,0.0,0.025,0.182
New Mexico,2013,2069706,1511087,42196,189953,0.013544918940177977,1477,63618,966268,0.73,0.02,0.092,0.0,0.001,0.031,0.467
New York,2013,19487053,12779326,3042152,72740,0.0759132743160292,7365,510429,3488083,0.656,0.156,0.004,0.0,0.0,0.026,0.179
North Carolina,2013,9651380,6727690,2068726,111733,0.022938895784851494,5390,218935,824868,0.697,0.214,0.012,0.0,0.001,0.023,0.085
North Dakota,2013,689781,618098,9273,36659,0.010672952719776276,332,13526,16054,0.896,0.013,0.053,0.0,0.0,0.02,0.023
Ohio,2013,11549590,9569431,1402897,20709,0.017437328944144338,2402,259004,367394,0.829,0.121,0.002,0.0,0.0,0.022,0.032
Oklahoma,2013,3785742,2783609,273421,266509,0.018004660645125844,4283,293976,345139,0.735,0.072,0.07,0.0,0.001,0.078,0.091
Oregon,2013,3868721,3297149,70328,47411,0.038251918398871355,14993,145854,461901,0.852,0.018,0.012,0.0,0.004,0.038,0.119
Pennsylvania,2013,12731381,10467433,1385799,20258,0.028588179082850478,3510,243574,753701,0.822,0.109,0.002,0.0,0.0,0.019,0.059
Rhode Island,2013,1051695,855594,66569,4616,0.030792197357598923,383,27547,135317,0.814,0.063,0.004,0.0,0.0,0.026,0.129
South Carolina,2013,4679602,3144146,1298534,14732,0.013056024849976557,2128,84835,241448,0.672,0.277,0.003,0.0,0.0,0.018,0.052
South Dakota,2013,825198,706667,11531,71766,0.010418105715234405,226,19197,24598,0.856,0.014,0.087,0.0,0.0,0.023,0.03
Tennessee,2013,6402387,5007014,1073534,16604,0.014963325397230751,3110,113243,300159,0.782,0.168,0.003,0.0,0.0,0.018,0.047
Texas,2013,25639373,19075100,3030970,129219,0.03975370224537082,20974,590326,9717727,0.744,0.118,0.005,0.0,0.001,0.023,0.379
Utah,2013,2813673,2487467,31101,31696,0.020666936065420537,26145,66319,368552,0.884,0.011,0.011,0.0,0.009,0.024,0.131
Vermont,2013,625904,595862,6139,1841,0.012656893069863749,145,12251,9803,0.952,0.01,0.003,0.0,0.0,0.02,0.016
Virginia,2013,8100653,5627076,1568021,24816,0.056512974941649766,5633,237866,659599,0.695,0.194,0.003,0.0,0.001,0.029,0.081
Washington,2013,6819579,5350938,245041,94194,0.07316302076711774,40695,324471,783693,0.785,0.036,0.014,0.0,0.006,0.048,0.115
West Virginia,2013,1853619,1737996,58489,2955,0.0069086473541758045,666,35968,23285,0.938,0.032,0.002,0.0,0.0,0.019,0.013
Wisconsin,2013,5706871,4966900,355873,49343,0.02323672639525232,1305,115553,345866,0.87,0.062,0.009,0.0,0.0,0.02,0.061
Wyoming,2013,570134,518388,5167,13268,0.00838750188552165,197,15841,52454,0.909,0.009,0.023,0.0,0.0,0.028,0.092
Puerto Rico,2013,3682966,2575834,284860,10471,0.003290825926712329,61,434256,3643237,0.699,0.077,0.003,0.0,0.0,0.118,0.989
Alabama,2014,4817678,3327891,1269808,25181,0.012105831896610774,1430,76428,191838,0.691,0.264,0.005,0.0,0.0,0.016,0.04
Alaska,2014,728300,484195,25148,102743,0.05626252917753673,8335,58521,45247,0.665,0.035,0.141,0.0,0.011,0.08,0.062
Arizona,2014,6561516,5174082,274380,290780,0.029119947280476035,12638,200532,1977026,0.789,0.042,0.044,0.0,0.002,0.031,0.301
Arkansas,2014,2947036,2306073,458136,18337,0.013033094946922941,6278,59238,198109,0.783,0.155,0.006,0.0,0.002,0.02,0.067
California,2014,38066920,23650913,2262323,287360,0.13477675630179695,147286,1698173,14534449,0.621,0.059,0.008,0.0,0.004,0.045,0.382
Colorado,2014,5197580,4364911,209062,49917,0.02819793057538316,6641,180206,1088602,0.84,0.04,0.01,0.0,0.001,0.035,0.209
Connecticut,2014,3592053,2789105,365871,8036,0.040601294023222934,1105,98797,512795,0.776,0.102,0.002,0.0,0.0,0.028,0.143
Delaware,2014,917060,639354,198028,3134,0.034616055656118465,494,23936,78598,0.697,0.216,0.003,0.0,0.001,0.026,0.086
District of Columbia,2014,633736,254955,314138,2072,0.03595345695999596,195,15592,62637,0.402,0.496,0.003,0.0,0.0,0.025,0.099
Florida,2014,19361792,14747196,3114841,59121,0.025350597713269515,12128,453399,4517191,0.762,0.161,0.003,0.0,0.001,0.023,0.233
Georgia,2014,9907756,5989234,3056726,25137,0.03473995524314487,4317,200871,896717,0.604,0.309,0.003,0.0,0.0,0.02,0.091
Hawaii,2014,1392704,350634,26913,2725,0.38048788543725015,138735,328433,133485,0.252,0.019,0.002,0.0,0.1,0.236,0.096
Idaho,2014,1599464,1468732,9334,20363,0.013597680222874662,2177,39556,186374,0.918,0.006,0.013,0.0,0.001,0.025,0.117
Illinois,2014,12868747,9331376,1849054,28535,0.04875393074399551,3240,277892,2095495,0.725,0.144,0.002,0.0,0.0,0.022,0.163
Indiana,2014,6542411,5519313,598423,15286,0.0175277890673637,2076,141137,411536,0.844,0.091,0.002,0.0,0.0,0.022,0.063
Iowa,2014,3078116,2813097,95716,9688,0.019403427291239186,1715,58221,163110,0.914,0.031,0.003,0.0,0.001,0.019,0.053
Kansas,2014,2882946,2457815,167220,23727,0.025171473902043256,1655,95030,316141,0.853,0.058,0.008,0.0,0.001,0.033,0.11
Kentucky,2014,4383272,3845535,345035,9000,0.012193630694148116,2109,86627,139636,0.877,0.079,0.002,0.0,0.0,0.02,0.032
Louisiana,2014,4601049,2890570,1477781,28807,0.016389523345654435,1671,77809,210524,0.628,0.321,0.006,0.0,0.0,0.017,0.046
Maine,2014,1328535,1262817,14865,7552,0.010997075726269914,198,25242,18592,0.951,0.011,0.006,0.0,0.0,0.019,0.014
Maryland,2014,5887776,3418336,1737155,16429,0.0585885060844706,2425,169506,515724,0.581,0.295,0.003,0.0,0.0,0.029,0.088
Massachusetts,2014,6657291,5326774,465792,13642,0.05777755546512838,1645,190267,681824,0.8,0.07,0.002,0.0,0.0,0.029,0.102
Michigan,2014,9889024,7829621,1383205,54960,0.026146867476507286,1995,253535,457109,0.792,0.14,0.006,0.0,0.0,0.026,0.046
Minnesota,2014,5383661,4585781,290545,56490,0.042870084130482954,2166,139018,264265,0.852,0.054,0.01,0.0,0.0,0.026,0.049
Mississippi,2014,2984345,1769693,1113652,13056,0.009404743754492191,365,34426,84073,0.593,0.373,0.004,0.0,0.0,0.012,0.028
Missouri,2014,6028076,4991914,695813,24269,0.016882998820850963,5983,144268,226388,0.828,0.115,0.004,0.0,0.001,0.024,0.038
Montana,2014,1006370,899503,4563,65110,0.0066089012987271085,699,24899,31902,0.894,0.005,0.065,0.0,0.001,0.025,0.032
Nebraska,2014,1855617,1637794,86423,16163,0.019236728268818403,1150,41316,180448,0.883,0.047,0.009,0.0,0.001,0.022,0.097
Nevada,2014,2761584,1935379,229638,30155,0.07517786893319196,17207,116058,752049,0.701,0.083,0.011,0.0,0.006,0.042,0.272
New Hampshire,2014,1321069,1239543,16293,2510,0.023132781103787917,280,24078,40301,0.938,0.012,0.002,0.0,0.0,0.018,0.031
New Jersey,2014,8874374,6094052,1201339,18921,0.08787560677519338,2671,220443,1649784,0.687,0.135,0.002,0.0,0.0,0.025,0.186
New Mexico,2014,2080085,1521876,42515,190350,0.013738861633058265,1271,65097,978189,0.732,0.02,0.092,0.0,0.001,0.031,0.47
New York,2014,19594330,12733518,3060048,74572,0.07770354995552285,6258,548262,3559644,0.65,0.156,0.004,0.0,0.0,0.028,0.182
North Carolina,2014,9750405,6784901,2093389,113798,0.023776448260354313,6083,226539,848597,0.696,0.215,0.012,0.0,0.001,0.023,0.087
North Dakota,2014,704925,628770,10781,36989,0.011524630279817002,312,14836,18250,0.892,0.015,0.052,0.0,0.0,0.021,0.026
Ohio,2014,11560380,9549343,1407493,21077,0.01805520233763942,2893,274026,379542,0.826,0.122,0.002,0.0,0.0,0.024,0.033
Oklahoma,2014,3818851,2799122,277007,274099,0.018695675741211164,4390,296110,357916,0.733,0.073,0.072,0.0,0.001,0.078,0.094
Oregon,2014,3900343,3317668,70700,47155,0.03903733594712055,14513,153814,473729,0.851,0.018,0.012,0.0,0.004,0.039,0.121
Pennsylvania,2014,12758729,10449680,1395718,22951,0.029606005425775562,3740,259758,784562,0.819,0.109,0.002,0.0,0.0,0.02,0.061
Rhode Island,2014,1053252,856605,66827,4951,0.03132583655193629,536,29345,139832,0.813,0.063,0.005,0.0,0.001,0.028,0.133
South Carolina,2014,4727273,3176381,1305347,15137,0.013369018459479704,2326,90899,248459,0.672,0.276,0.003,0.0,0.0,0.019,0.053
