State,Year,Total Population,White (pop),Black (pop),Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
Mississippi,2010,2941991,1761910,1088270,13610,24691,636,29446,69834,0.599,0.37,0.005,0.008,0.0,0.01,0.024
Missouri,2010,5922314,4938222,679062,22829,92147,5201,123752,198670,0.834,0.115,0.004,0.016,0.001,0.021,0.034
Montana,2010,973739,874571,4325,60135,6091,609,21958,27260,0.898,0.004,0.062,0.006,0.001,0.023,0.028
Nebraska,2010,1799125,1587857,77986,15651,29624,1209,37772,151971,0.883,0.043,0.009,0.016,0.001,0.021,0.084
Nevada,2010,2633331,1938033,207567,28403,183979,15526,92441,673897,0.736,0.079,0.011,0.07,0.006,0.035,0.256
New Hampshire,2010,1313939,1241539,14186,2835,27754,287,17341,35338,0.945,0.011,0.002,0.021,0.0,0.013,0.027
New Jersey,2010,8721577,6074010,1176241,19683,697788,2303,174609,1468176,0.696,0.135,0.002,0.08,0.0,0.02,0.168
New Mexico,2010,2013122,1433955,39935,188217,27463,1088,61309,913902,0.712,0.02,0.093,0.014,0.001,0.03,0.454
New York,2010,19229752,12764402,2990591,66876,1392380,5334,402373,3288880,0.664,0.156,0.003,0.072,0.0,0.021,0.171
North Carolina,2010,9271178,6453727,1980942,106026,194993,5170,174077,723408,0.696,0.214,0.011,0.021,0.001,0.019,0.078
North Dakota,2010,659858,597392,7034,34798,6132,439,10351,12878,0.905,0.011,0.053,0.009,0.001,0.016,0.02
Ohio,2010,11512431,9598726,1391240,22785,186464,2162,212840,333019,0.834,0.121,0.002,0.016,0.0,0.018,0.029
Oklahoma,2010,3675339,2720135,267179,259809,61581,3967,263896,302167,0.74,0.073,0.071,0.017,0.001,0.072,0.082
Oregon,2010,3761925,3220250,66427,60612,135518,12100,131193,420195,0.856,0.018,0.016,0.036,0.003,0.035,0.112
Pennsylvania,2010,12612705,10460096,1347052,18205,332435,3012,196836,656508,0.829,0.107,0.001,0.026,0.0,0.016,0.052
Rhode Island,2010,1056389,866678,62082,4521,30991,357,23479,124432,0.82,0.059,0.004,0.029,0.0,0.022,0.118
South Carolina,2010,4511428,3034000,1269484,14095,54288,2053,66819,208754,0.673,0.281,0.003,0.012,0.0,0.015,0.046
South Dakota,2010,799462,692330,8874,68215,7126,241,15551,20444,0.866,0.011,0.085,0.009,0.0,0.019,0.026
Tennessee,2010,6234968,4910745,1037376,15237,87257,2987,95310,261448,0.788,0.166,0.002,0.014,0.0,0.015,0.042
Texas,2010,24311891,17503446,2864666,119680,904831,19005,488717,8917477,0.72,0.118,0.005,0.037,0.001,0.02,0.367
Utah,2010,2657236,2375876,27030,30831,53046,23944,55584,326806,0.894,0.01,0.012,0.02,0.009,0.021,0.123
Vermont,2010,624258,596947,5494,1832,7396,87,10139,9154,0.956,0.009,0.003,0.012,0.0,0.016,0.015
Virginia,2010,7841754,5479975,1532150,24941,416549,5711,180736,574966,0.699,0.195,0.003,0.053,0.001,0.023,0.073
Washington,2010,6561297,5199167,229885,95212,457771,35706,272139,691548,0.792,0.035,0.015,0.07,0.005,0.041,0.105
West Virginia,2010,1840802,1734615,58968,3139,11482,529,27932,20955,0.942,0.032,0.002,0.006,0.0,0.015,0.011
Wisconsin,2010,5637947,4914551,348662,49189,122442,1553,94070,310549,0.872,0.062,0.009,0.022,0.0,0.017,0.055
Wyoming,2010,545579,498326,4135,12786,4138,242,14200,45782,0.913,0.008,0.023,0.008,0.0,0.026,0.084
Puerto Rico,2010,3762322,2761508,274843,7415,12414,101,310046,3716870,0.734,0.073,0.002,0.003,0.0,0.082,0.988
