State,Year,Total Population,White (pop),Black (pop),Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
District of Columbia,2013,619371,248141,310530,1990,21845,233,14467,59479,0.401,0.501,0.003,0.035,0.0,0.023,0.096
Florida,2013,19091156,14568521,3056152,58390,475905,11258,430455,4369920,0.763,0.16,0.003,0.025,0.001,0.023,0.229
Georgia,2013,9810417,5948977,3010984,24496,330392,4554,193170,875849,0.606,0.307,0.002,0.034,0.0,0.02,0.089
Hawaii,2013,1376298,344488,24532,3050,526743,134733,327334,128171,0.25,0.018,0.002,0.383,0.098,0.238,0.093
Idaho,2013,1583364,1455692,8957,19984,20141,2216,39459,180901,0.919,0.006,0.013,0.013,0.001,0.025,0.114
Illinois,2013,12848554,9320910,1851524,27548,609923,2979,265702,2060706,0.725,0.144,0.002,0.047,0.0,0.021,0.16
Indiana,2013,6514861,5510618,592954,14975,107563,1852,136702,400788,0.846,0.091,0.002,0.017,0.0,0.021,0.062
Iowa,2013,3062553,2802839,91754,9440,55878,1389,58229,157711,0.915,0.03,0.003,0.018,0.0,0.019,0.051
Kansas,2013,2868107,2449273,164299,23958,70408,1887,92475,308122,0.854,0.057,0.008,0.025,0.001,0.032,0.107
Kentucky,2013,4361333,3835013,341576,8811,51411,2019,80523,136340,0.879,0.078,0.002,0.012,0.0,0.018,0.031
Louisiana,2013,4567968,2874235,1463345,28466,73460,2141,75179,202145,0.629,0.32,0.006,0.016,0.0,0.016,0.044
Maine,2013,1328320,1264047,14637,7364,14391,246,24073,17946,0.952,0.011,0.006,0.011,0.0,0.018,0.014
Maryland,2013,5834299,3406243,1717582,17535,332620,2570,162105,493310,0.584,0.294,0.003,0.057,0.0,0.028,0.085
Massachusetts,2013,6605058,5318548,454887,12956,368178,1876,180738,655863,0.805,0.069,0.002,0.056,0.0,0.027,0.099
Michigan,2013,9886095,7841011,1385154,54881,251175,2230,243968,447594,0.793,0.14,0.006,0.025,0.0,0.025,0.045
Minnesota,2013,5347740,4575991,279944,57479,222761,2259,132033,257144,0.856,0.052,0.011,0.042,0.0,0.025,0.048
Mississippi,2013,2976872,1769766,1106982,13030,27646,274,34508,81433,0.595,0.372,0.004,0.009,0.0,0.012,0.027
Missouri,2013,6007182,4984653,691128,22781,98962,6263,139240,219705,0.83,0.115,0.004,0.016,0.001,0.023,0.037
Montana,2013,998554,893032,4038,64426,6246,676,24295,30490,0.894,0.004,0.065,0.006,0.001,0.024,0.031
Nebraska,2013,1841625,1624312,84228,16408,34144,1254,39933,173903,0.882,0.046,0.009,0.019,0.001,0.022,0.094
Nevada,2013,2730066,1948808,224424,29446,202157,16841,108275,734097,0.714,0.082,0.011,0.074,0.006,0.04,0.269
New Hampshire,2013,1319171,1240404,16011,2588,29337,214,21829,38817,0.94,0.012,0.002,0.022,0.0,0.017,0.029
New Jersey,2013,8832406,6108784,1197753,20482,756668,2610,217263,1603510,0.692,0.136,0.002,0.086,0.0,0.025,0.182
New Mexico,2013,2069706,1511087,42196,189953,28034,1477,63618,966268,0.73,0.02,0.092,0.014,0.001,0.031,0.467
New York,2013,19487053,12779326,3042152,72740,1479326,7365,510429,3488083,0.656,0.156,0.004,0.076,0.0,0.026,0.179
North Carolina,2013,9651380,6727690,2068726,111733,221392,5390,218935,824868,0.697,0.214,0.012,0.023,0.001,0.023,0.085
North Dakota,2013,689781,618098,9273,36659,7362,332,13526,16054,0.896,0.013,0.053,0.011,0.0,0.02,0.023
Ohio,2013,11549590,9569431,1402897,20709,201394,2402,259004,367394,0.829,0.121,0.002,0.017,0.0,0.022,0.032
Oklahoma,2013,3785742,2783609,273421,266509,68161,4283,293976,345139,0.735,0.072,0.07,0.018,0.001,0.078,0.091
Oregon,2013,3868721,3297149,70328,47411,147986,14993,145854,461901,0.852,0.018,0.012,0.038,0.004,0.038,0.119
Pennsylvania,2013,12731381,10467433,1385799,20258,363967,3510,243574,753701,0.822,0.109,0.002,0.029,0.0,0.019,0.059
Rhode Island,2013,1051695,855594,66569,4616,32384,383,27547,135317,0.814,0.063,0.004,0.031,0.0,0.026,0.129
South Carolina,2013,4679602,3144146,1298534,14732,61097,2128,84835,241448,0.672,0.277,0.003,0.013,0.0,0.018,0.052
South Dakota,2013,825198,706667,11531,71766,8597,226,19197,24598,0.856,0.014,0.087,0.01,0.0,0.023,0.03
Tennessee,2013,6402387,5007014,1073534,16604,95801,3110,113243,300159,0.782,0.168,0.003,0.015,0.0,0.018,0.047
Texas,2013,25639373,19075100,3030970,129219,1019260,20974,590326,9717727,0.744,0.118,0.005,0.04,0.001,0.023,0.379
Utah,2013,2813673,2487467,31101,31696,58150,26145,66319,368552,0.884,0.011,0.011,0.021,0.009,0.024,0.131
Vermont,2013,625904,595862,6139,1841,7922,145,12251,9803,0.952,0.01,0.003,0.013,0.0,0.02,0.016
Virginia,2013,8100653,5627076,1568021,24816,457792,5633,237866,659599,0.695,0.194,0.003,0.057,0.001,0.029,0.081
Washington,2013,6819579,5350938,245041,94194,498941,40695,324471,783693,0.785,0.036,0.014,0.073,0.006,0.048,0.115
West Virginia,2013,1853619,1737996,58489,2955,12806,666,35968,23285,0.938,0.032,0.002,0.007,0.0,0.019,0.013
Wisconsin,2013,5706871,4966900,355873,49343,132609,1305,115553,345866,0.87,0.062,0.009,0.023,0.0,0.02,0.061
Wyoming,2013,570134,518388,5167,13268,4782,197,15841,52454,0.909,0.009,0.023,0.008,0.0,0.028,0.092
Puerto Rico,2013,3682966,2575834,284860,10471,12120,61,434256,3643237,0.699,0.077,0.003,0.003,0.0,0.118,0.989
Alabama,2014,4817678,3327891,1269808,25181,58322,1430,76428,191838,0.691,0.264,0.005,0.012,0.0,0.016,0.04
Alaska,2014,728300,484195,25148,102743,40976,8335,58521,45247,0.665,0.035,0.141,0.056,0.011,0.08,0.062
Arizona,2014,6561516,5174082,274380,290780,191071,12638,200532,1977026,0.789,0.042,0.044,0.029,0.002,0.031,0.301
Arkansas,2014,2947036,2306073,458136,18337,38409,6278,59238,198109,0.783,0.155,0.006,0.013,0.002,0.02,0.067
California,2014,38066920,23650913,2262323,287360,5130536,147286,1698173,14534449,0.621,0.059,0.008,0.135,0.004,0.045,0.382
Colorado,2014,5197580,4364911,209062,49917,146561,6641,180206,1088602,0.84,0.04,0.01,0.028,0.001,0.035,0.209
Connecticut,2014,3592053,2789105,365871,8036,145842,1105,98797,512795,0.776,0.102,0.002,0.041,0.0,0.028,0.143
Delaware,2014,917060,639354,198028,3134,31745,494,23936,78598,0.697,0.216,0.003,0.035,0.001,0.026,0.086
District of Columbia,2014,633736,254955,314138,2072,22785,195,15592,62637,0.402,0.496,0.003,0.036,0.0,0.025,0.099
Florida,2014,19361792,14747196,3114841,59121,490833,12128,453399,4517191,0.762,0.161,0.003,0.025,0.001,0.023,0.233
Georgia,2014,9907756,5989234,3056726,25137,344195,4317,200871,896717,0.604,0.309,0.003,0.035,0.0,0.02,0.091
Hawaii,2014,1392704,350634,26913,2725,529907,138735,328433,133485,0.252,0.019,0.002,0.38,0.1,0.236,0.096
Idaho,2014,1599464,1468732,9334,20363,21749,2177,39556,186374,0.918,0.006,0.013,0.014,0.001,0.025,0.117
Illinois,2014,12868747,9331376,1849054,28535,627402,3240,277892,2095495,0.725,0.144,0.002,0.049,0.0,0.022,0.163
Indiana,2014,6542411,5519313,598423,15286,114674,2076,141137,411536,0.844,0.091,0.002,0.018,0.0,0.022,0.063
Iowa,2014,3078116,2813097,95716,9688,59726,1715,58221,163110,0.914,0.031,0.003,0.019,0.001,0.019,0.053
Kansas,2014,2882946,2457815,167220,23727,72568,1655,95030,316141,0.853,0.058,0.008,0.025,0.001,0.033,0.11
Kentucky,2014,4383272,3845535,345035,9000,53448,2109,86627,139636,0.877,0.079,0.002,0.012,0.0,0.02,0.032
Louisiana,2014,4601049,2890570,1477781,28807,75409,1671,77809,210524,0.628,0.321,0.006,0.016,0.0,0.017,0.046
Maine,2014,1328535,1262817,14865,7552,14610,198,25242,18592,0.951,0.011,0.006,0.011,0.0,0.019,0.014
Maryland,2014,5887776,3418336,1737155,16429,344956,2425,169506,515724,0.581,0.295,0.003,0.059,0.0,0.029,0.088
Massachusetts,2014,6657291,5326774,465792,13642,384642,1645,190267,681824,0.8,0.07,0.002,0.058,0.0,0.029,0.102
Michigan,2014,9889024,7829621,1383205,54960,258567,1995,253535,457109,0.792,0.14,0.006,0.026,0.0,0.026,0.046
Minnesota,2014,5383661,4585781,290545,56490,230798,2166,139018,264265,0.852,0.054,0.01,0.043,0.0,0.026,0.049
Mississippi,2014,2984345,1769693,1113652,13056,28067,365,34426,84073,0.593,0.373,0.004,0.009,0.0,0.012,0.028
Missouri,2014,6028076,4991914,695813,24269,101772,5983,144268,226388,0.828,0.115,0.004,0.017,0.001,0.024,0.038
Montana,2014,1006370,899503,4563,65110,6651,699,24899,31902,0.894,0.005,0.065,0.007,0.001,0.025,0.032
Nebraska,2014,1855617,1637794,86423,16163,35696,1150,41316,180448,0.883,0.047,0.009,0.019,0.001,0.022,0.097
Nevada,2014,2761584,1935379,229638,30155,207610,17207,116058,752049,0.701,0.083,0.011,0.075,0.006,0.042,0.272
New Hampshire,2014,1321069,1239543,16293,2510,30560,280,24078,40301,0.938,0.012,0.002,0.023,0.0,0.018,0.031
New Jersey,2014,8874374,6094052,1201339,18921,779841,2671,220443,1649784,0.687,0.135,0.002,0.088,0.0,0.025,0.186
New Mexico,2014,2080085,1521876,42515,190350,28578,1271,65097,978189,0.732,0.02,0.092,0.014,0.001,0.031,0.47
New York,2014,19594330,12733518,3060048,74572,1522549,6258,548262,3559644,0.65,0.156,0.004,0.078,0.0,0.028,0.182
North Carolina,2014,9750405,6784901,2093389,113798,231830,6083,226539,848597,0.696,0.215,0.012,0.024,0.001,0.023,0.087
North Dakota,2014,704925,628770,10781,36989,8124,312,14836,18250,0.892,0.015,0.052,0.012,0.0,0.021,0.026
Ohio,2014,11560380,9549343,1407493,21077,208725,2893,274026,379542,0.826,0.122,0.002,0.018,0.0,0.024,0.033
Oklahoma,2014,3818851,2799122,277007,274099,71396,4390,296110,357916,0.733,0.073,0.072,0.019,0.001,0.078,0.094
Oregon,2014,3900343,3317668,70700,47155,152259,14513,153814,473729,0.851,0.018,0.012,0.039,0.004,0.039,0.121
Pennsylvania,2014,12758729,10449680,1395718,22951,377735,3740,259758,784562,0.819,0.109,0.002,0.03,0.0,0.02,0.061
Rhode Island,2014,1053252,856605,66827,4951,32994,536,29345,139832,0.813,0.063,0.005,0.031,0.001,0.028,0.133
South Carolina,2014,4727273,3176381,1305347,15137,63199,2326,90899,248459,0.672,0.276,0.003,0.013,0.0,0.019,0.053
South Dakota,2014,834708,712496,12642,72016,9433,229,20693,26459,0.854,0.015,0.086,0.011,0.0,0.025,0.032
Tennessee,2014,6451365,5029109,1082001,17656,98441,3256,122662,309828,0.78,0.168,0.003,0.015,0.001,0.019,0.048
Texas,2014,26092033,19499105,3094227,127236,1067008,21867,620302,9962643,0.747,0.119,0.005,0.041,0.001,0.024,0.382
Utah,2014,2858111,2515352,31163,31999,60631,26491,70463,379454,0.88,0.011,0.011,0.021,0.009,0.025,0.133
Vermont,2014,626358,595385,6435,2008,8200,214,12192,10226,0.951,0.01,0.003,0.013,0.0,0.019,0.016
Virginia,2014,8185131,5668363,1577943,23421,475632,5485,255121,687265,0.693,0.193,0.003,0.058,0.001,0.031,0.084
Washington,2014,6899123,5392302,250484,95117,518072,42608,338963,809998,0.782,0.036,0.014,0.075,0.006,0.049,0.117
West Virginia,2014,1853881,1735816,59129,3075,13144,645,36921,24061,0.936,0.032,0.002,0.007,0.0,0.02,0.013
Wisconsin,2014,5724692,4965198,357758,49563,137404,1303,120776,355292,0.867,0.062,0.009,0.024,0.0,0.021,0.062
Wyoming,2014,575251,522535,5958,13144,5377,332,15518,54181,0.908,0.01,0.023,0.009,0.001,0.027,0.094
Puerto Rico,2014,3638965,2533581,290999,11102,11484,129,396212,3601918,0.696,0.08,0.003,0.003,0.0,0.109,0.99
Alabama,2015,4830620,3325464,1276544,23850,59599,2439,81646,193492,0.688,0.264,0.005,0.012,0.001,0.017,0.04
Alaska,2015,733375,484250,25022,101313,42921,8841,61755,47808,0.66,0.034,0.138,0.059,0.012,0.084,0.065
Arizona,2015,6641928,5210335,281576,294721,200090,12471,211845,2014711,0.784,0.042,0.044,0.03,0.002,0.032,0.303
Arkansas,2015,2958208,2307849,459748,18409,40336,6845,62537,203226,0.78,0.155,0.006,0.014,0.002,0.021,0.069
California,2015,38421464,23747013,2265387,287028,5261978,150370,1734897,14750686,0.618,0.059,0.007,0.137,0.004,0.045,0.384
Colorado,2015,5278906,4446095,213787,50008,153467,7695,183480,1112586,0.842,0.04,0.009,0.029,0.001,0.035,0.211
Connecticut,2015,3593222,2778362,370501,8908,150670,981,101919,526508,0.773,0.103,0.002,0.042,0.0,0.028,0.147
Delaware,2015,926454,642623,200481,3140,33643,306,25266,80706,0.694,0.216,0.003,0.036,0.0,0.027,0.087
District of Columbia,2015,647484,260325,316447,2154,23822,250,17327,65803,0.402,0.489,0.003,0.037,0.0,0.027,0.102
Florida,2015,19645772,14934702,3171108,54569,509085,11024,472082,4660733,0.76,0.161,0.003,0.026,0.001,0.024,0.237
Georgia,2015,10006693,6025691,3096757,25887,360448,4704,213803,915120,0.602,0.309,0.003,0.036,0.0,0.021,0.091
Hawaii,2015,1406299,357164,28688,3012,530551,138901,333119,139251,0.254,0.02,0.002,0.377,0.099,0.237,0.099
Idaho,2015,1616547,1482914,9900,20504,21711,1921,41226,191314,0.917,0.006,0.013,0.013,0.001,0.026,0.118
Illinois,2015,12873761,9312771,1846108,28363,645642,3407,289537,2122841,0.723,0.143,0.002,0.05,0.0,0.022,0.165
Indiana,2015,6568645,5529201,603014,14793,121729,2285,145601,421206,0.842,0.092,0.002,0.019,0.0,0.022,0.064
Iowa,2015,3093526,2820046,97788,9977,62997,1882,60964,168230,0.912,0.032,0.003,0.02,0.001,0.02,0.054
Kansas,2015,2892987,2464566,168402,24022,75653,1796,95365,323218,0.852,0.058,0.008,0.026,0.001,0.033,0.112
Kentucky,2015,4397353,3851591,347034,9063,55483,2197,90836,143481,0.876,0.079,0.002,0.013,0.0,0.021,0.033
Louisiana,2015,4625253,2902538,1484363,27238,77818,1824,83877,218263,0.628,0.321,0.006,0.017,0.0,0.018,0.047
Maine,2015,1329100,1262026,15037,7811,14590,187,26298,19447,0.95,0.011,0.006,0.011,0.0,0.02,0.015
Maryland,2015,5930538,3416107,1750916,15579,357616,2754,175652,533671,0.576,0.295,0.003,0.06,0.0,0.03,0.09
Massachusetts,2015,6705586,5334859,478947,13189,400675,1644,194677,707928,0.796,0.071,0.002,0.06,0.0,0.029,0.106
Michigan,2015,9900571,7823875,1381388,53951,268766,2083,261324,467021,0.79,0.14,0.005,0.027,0.0,0.026,0.047
Minnesota,2015,5419171,4594367,299176,56561,240786,1970,144226,270984,0.848,0.055,0.01,0.044,0.0,0.027,0.05
Mississippi,2015,2988081,1768174,1116457,12896,28900,409,35334,86507,0.592,0.374,0.004,0.01,0.0,0.012,0.029
Missouri,2015,6045448,4995527,697022,24951,106537,6161,147645,233046,0.826,0.115,0.004,0.018,0.001,0.024,0.039
Montana,2015,1014699,904977,4757,65693,7187,848,25777,33622,0.892,0.005,0.065,0.007,0.001,0.025,0.033
Nebraska,2015,1869365,1647551,88195,16319,38066,1280,41595,186268,0.881,0.047,0.009,0.02,0.001,0.022,0.1
Nevada,2015,2798636,1929661,235721,31393,214846,17942,122935,770553,0.69,0.084,0.011,0.077,0.006,0.044,0.275
New Hampshire,2015,1324201,1241313,17439,2238,31364,228,24346,42141,0.937,0.013,0.002,0.024,0.0,0.018,0.032
New Jersey,2015,8904413,6083940,1202300,18335,804989,2808,223826,1688008,0.683,0.135,0.002,0.09,0.0,0.025,0.19
New Mexico,2015,2084117,1524911,43738,190528,28761,1276,68053,986972,0.732,0.021,0.091,0.014,0.001,0.033,0.474
New York,2015,19673174,12704637,3070392,74793,1570223,6485,560879,3619658,0.646,0.156,0.004,0.08,0.0,0.029,0.184
North Carolina,2015,9845333,6839831,2115338,116143,244076,6244,231391,869908,0.695,0.215,0.012,0.025,0.001,0.024,0.088
North Dakota,2015,721640,640208,11872,38286,8979,304,16132,20569,0.887,0.016,0.053,0.012,0.0,0.022,0.029
Ohio,2015,11575977,9538328,1412045,21646,216170,3060,287212,390970,0.824,0.122,0.002,0.019,0.0,0.025,0.034
Oklahoma,2015,3849733,2813794,278571,279276,74570,4701,299936,371459,0.731,0.072,0.073,0.019,0.001,0.078,0.096
Oregon,2015,3939233,3352941,72837,46258,156695,15042,162793,485646,0.851,0.018,0.012,0.04,0.004,0.041,0.123
Pennsylvania,2015,12779559,10430142,1403143,23641,392595,4279,272689,815538,0.816,0.11,0.002,0.031,0.0,0.021,0.064
Rhode Island,2015,1053661,854859,68243,5106,34213,373,29782,143788,0.811,0.065,0.005,0.032,0.0,0.028,0.136
South Carolina,2015,4777576,3210708,1315058,14966,66982,2588,93950,254092,0.672,0.275,0.003,0.014,0.001,0.02,0.053
South Dakota,2015,843190,716691,13133,72619,10152,332,22323,27914,0.85,0.016,0.086,0.012,0.0,0.026,0.033
Tennessee,2015,6499615,5059894,1091070,17802,102027,3323,128760,320090,0.778,0.168,0.003,0.016,0.001,0.02,0.049
Texas,2015,26538614,19874610,3152917,126493,1124011,21655,653062,10196367,0.749,0.119,0.005,0.042,0.001,0.025,0.384
Utah,2015,2903379,2544735,31909,31824,64102,26147,74755,389856,0.876,0.011,0.011,0.022,0.009,0.026,0.134
Vermont,2015,626604,594443,6949,2018,8774,249,12169,10691,0.949,0.011,0.003,0.014,0.0,0.019,0.017
Virginia,2015,8256630,5695147,1589345,22570,492973,5304,268167,709156,0.69,0.192,0.003,0.06,0.001,0.032,0.086
Washington,2015,6985464,5434177,253224,93266,535501,44159,360705,835488,0.778,0.036,0.013,0.077,0.006,0.052,0.12
West Virginia,2015,1851420,1732235,61367,2953,13485,625,36189,25408,0.936,0.033,0.002,0.007,0.0,0.02,0.014
Wisconsin,2015,5742117,4967124,360792,50449,143732,1233,122730,364558,0.865,0.063,0.009,0.025,0.0,0.021,0.063
Wyoming,2015,579679,527763,6142,12658,5319,423,15489,55698,0.91,0.011,0.022,0.009,0.001,0.027,0.096
Puerto Rico,2015,3583073,2495997,301519,11775,10159,129,332051,3547288,0.697,0.084,0.003,0.003,0.0,0.093,0.99
Puerto Rico,2017,3468963,2389446,338939,10849,7789,136,210019,3432611,0.689,0.098,0.003,0.002,0.0,0.061,0.99
Alabama,2017,4850771,3317702,1287167,25098,62815,2213,88834,198375,0.684,0.265,0.005,0.013,0.0,0.018,0.041
Alaska,2017,738565,481971,23702,104995,45604,9075,62713,50162,0.653,0.032,0.142,0.062,0.012,0.085,0.068
Arizona,2017,6809946,5277661,292831,300182,213417,13364,237908,2103523,0.775,0.043,0.044,0.031,0.002,0.035,0.309
Arkansas,2017,2977944,2302141,459969,19476,42368,7062,71822,213246,0.773,0.154,0.007,0.014,0.002,0.024,0.072
California,2017,38982847,23607242,2263222,292018,5503672,152027,1834714,15105860,0.606,0.058,0.007,0.141,0.004,0.047,0.388
Colorado,2017,5436519,4576201,221155,51406,164771,8580,188909,1157200,0.842,0.041,0.009,0.03,0.002,0.035,0.213
Connecticut,2017,3594478,2757064,376240,9385,156450,931,110654,551916,0.767,0.105,0.003,0.044,0.0,0.031,0.154
District of Columbia,2017,672391,273471,321062,1757,25558,289,19293,71829,0.407,0.477,0.003,0.038,0.0,0.029,0.107
Delaware,2017,943732,652170,206290,3482,36553,465,26260,84793,0.691,0.219,0.004,0.039,0.0,0.028,0.09
Florida,2017,20278447,15343997,3270863,56730,543394,12342,514823,5015015,0.757,0.161,0.003,0.027,0.001,0.025,0.247
Georgia,2017,10201635,6061821,3195268,30552,388946,5237,237241,950380,0.594,0.313,0.003,0.038,0.001,0.023,0.093
Hawaii,2017,1421658,357308,25884,2756,540556,142600,338498,145381,0.251,0.018,0.002,0.38,0.1,0.238,0.102
Idaho,2017,1657375,1507880,11231,21323,22720,2343,43914,201978,0.91,0.007,0.013,0.014,0.001,0.026,0.122
Illinois,2017,12854526,9236701,1833501,29696,671811,4275,311397,2162070,0.719,0.143,0.002,0.052,0.0,0.024,0.168
Indiana,2017,6614418,5546787,613060,15027,137680,2635,153438,441968,0.839,0.093,0.002,0.021,0.0,0.023,0.067
Iowa,2017,3118102,2824197,106762,10791,71178,2913,62734,178294,0.906,0.034,0.003,0.023,0.001,0.02,0.057
Kansas,2017,2903820,2465518,168470,23503,80738,1923,98415,334860,0.849,0.058,0.008,0.028,0.001,0.034,0.115
Kentucky,2017,4424376,3862600,353088,9324,59593,2271,96303,152072,0.873,0.08,0.002,0.013,0.001,0.022,0.034
Maine,2017,1330158,1258918,16906,8212,14804,249,28102,20427,0.946,0.013,0.006,0.011,0.0,0.021,0.015
Louisiana,2017,4663461,2909599,1500648,27094,80980,1401,87523,231708,0.624,0.322,0.006,0.017,0.0,0.019,0.05
Massachusetts,2017,6789319,5358373,499774,14336,426225,2253,209523,760177,0.789,0.074,0.002,0.063,0.0,0.031,0.112
Maryland,2017,5996079,3395212,1782256,16281,373065,2830,189601,573303,0.566,0.297,0.003,0.062,0.0,0.032,0.096
Michigan,2017,9925568,7813199,1374515,51804,289082,2808,278902,484568,0.787,0.138,0.005,0.029,0.0,0.028,0.049
Minnesota,2017,5490726,4598252,326953,57566,255935,1976,154444,284649,0.837,0.06,0.01,0.047,0.0,0.028,0.052
Mississippi,2017,2986220,1755471,1122576,13258,28859,597,37929,88261,0.588,0.376,0.004,0.01,0.0,0.013,0.03
Missouri,2017,6075300,5004537,703061,25933,112959,6336,151390,244420,0.824,0.116,0.004,0.019,0.001,0.025,0.04
Montana,2017,1029862,916664,4438,66865,7448,571,28384,36626,0.89,0.004,0.065,0.007,0.001,0.028,0.036
Nebraska,2017,1893921,1663612,89718,16012,42208,1524,45571,198300,0.878,0.047,0.008,0.022,0.001,0.024,0.105
New Hampshire,2017,1331848,1244260,18632,2148,33313,289,26190,45266,0.934,0.014,0.002,0.025,0.0,0.02,0.034
Nevada,2017,2887725,1936453,253013,32426,232502,19019,134335,814305,0.671,0.088,0.011,0.081,0.007,0.047,0.282
New Jersey,2017,8960161,6085474,1207356,18006,844105,3013,229061,1764520,0.679,0.135,0.002,0.094,0.0,0.026,0.197
New Mexico,2017,2084828,1547843,42187,197191,29991,1390,68282,1004103,0.742,0.02,0.095,0.014,0.001,0.033,0.482
New York,2017,19798228,12638791,3100685,77130,1652846,7937,590026,3726238,0.638,0.157,0.004,0.083,0.0,0.03,0.188
North Carolina,2017,10052564,6937466,2159427,117998,269164,6393,251196,914792,0.69,0.215,0.012,0.027,0.001,0.025,0.091
North Dakota,2017,745475,654024,17365,39507,10197,341,17441,24744,0.877,0.023,0.053,0.014,0.0,0.023,0.033
Ohio,2017,11609756,9503779,1428230,21872,235878,3499,312772,414490,0.819,0.123,0.002,0.02,0.0,0.027,0.036
Oklahoma,2017,3896251,2828569,283821,289871,80670,5543,302091,394879,0.726,0.073,0.074,0.021,0.001,0.078,0.101
Oregon,2017,4025127,3416776,76347,45332,166351,15157,184164,509507,0.849,0.019,0.011,0.041,0.004,0.046,0.127
Pennsylvania,2017,12790505,10378174,1417611,24995,417525,3665,297320,874833,0.811,0.111,0.002,0.033,0.0,0.023,0.068
Rhode Island,2017,1056138,854801,68346,5413,35556,759,31296,153910,0.809,0.065,0.005,0.034,0.001,0.03,0.146
South Carolina,2017,4893444,3292598,1332110,14992,71994,3015,104407,267398,0.673,0.272,0.003,0.015,0.001,0.021,0.055
South Dakota,2017,855444,724430,14698,74062,11693,381,23493,29901,0.847,0.017,0.087,0.014,0.0,0.027,0.035
Tennessee,2017,6597381,5131786,1107392,17568,110605,3784,137501,340063,0.778,0.168,0.003,0.017,0.001,0.021,0.052
Texas,2017,27419612,20459525,3286950,130360,1236852,23531,702001,10673909,0.746,0.12,0.005,0.045,0.001,0.026,0.389
Utah,2017,2993941,2600077,33619,32079,67545,26742,83283,409311,0.868,0.011,0.011,0.023,0.009,0.028,0.137
Vermont,2017,624636,590499,7921,2072,9680,206,12061,11183,0.945,0.013,0.003,0.015,0.0,0.019,0.018
Virginia,2017,8365952,5720209,1605447,22499,520119,5469,291944,749458,0.684,0.192,0.003,0.062,0.001,0.035,0.09
West Virginia,2017,1836843,1714591,65300,3322,14096,541,31800,27021,0.933,0.036,0.002,0.008,0.0,0.017,0.015
Washington,2017,7169967,5500837,261743,94754,578822,46071,394733,882108,0.767,0.037,0.013,0.081,0.006,0.055,0.123
Wyoming,2017,583200,532394,6121,13549,5102,470,15317,56681,0.913,0.01,0.023,0.009,0.001,0.026,0.097
Wisconsin,2017,5763217,4950577,365884,50094,152325,1811,131091,380590,0.859,0.063,0.009,0.026,0.0,0.023,0.066
Alabama,2016,4841164,3325037,1282053,23919,60744,2008,85412,193503,0.687,0.265,0.005,0.013,0.0,0.018,0.04
Alaska,2016,736855,483518,24443,103574,44218,8862,62340,49031,0.656,0.033,0.141,0.06,0.012,0.085,0.067
Arizona,2016,6728577,5235158,287110,296732,205229,12863,222579,2054849,0.778,0.043,0.044,0.031,0.002,0.033,0.305
Arkansas,2016,2968472,2307136,460638,18697,41539,6738,66079,207049,0.777,0.155,0.006,0.014,0.002,0.022,0.07
California,2016,38654206,23680584,2261835,285512,5354608,150908,1787159,14903982,0.613,0.059,0.007,0.139,0.004,0.046,0.386
Colorado,2016,5359295,4517058,219349,50160,157523,7441,183735,1132292,0.843,0.041,0.009,0.029,0.001,0.034,0.211
Connecticut,2016,3588570,2768080,372696,9399,152782,1031,106988,537728,0.771,0.104,0.003,0.043,0.0,0.03,0.15
Delaware,2016,934695,647002,203027,3494,34428,461,25831,82662,0.692,0.217,0.004,0.037,0.0,0.028,0.088
District of Columbia,2016,659009,266035,318598,2174,24036,271,18245,69106,0.404,0.483,0.003,0.036,0.0,0.028,0.105
Florida,2016,19934451,15130748,3216994,52904,521272,11288,495368,4806854,0.759,0.161,0.003,0.026,0.001,0.025,0.241
Georgia,2016,10099320,6039389,3148134,28950,373983,4916,222457,926990,0.598,0.312,0.003,0.037,0.0,0.022,0.092
Hawaii,2016,1413673,353643,25871,2715,537363,143973,336629,141827,0.25,0.018,0.002,0.38,0.102,0.238,0.1
Idaho,2016,1635483,1493155,10433,21454,21630,2003,42050,195589,0.913,0.006,0.013,0.013,0.001,0.026,0.12
Illinois,2016,12851684,9270907,1837612,29399,655799,4186,300222,2136474,0.721,0.143,0.002,0.051,0.0,0.023,0.166
Indiana,2016,6589578,5534759,608226,15799,130232,2746,146316,429522,0.84,0.092,0.002,0.02,0.0,0.022,0.065
Iowa,2016,3106589,2823890,103052,9951,66570,2422,61294,172707,0.909,0.033,0.003,0.021,0.001,0.02,0.056
Kansas,2016,2898292,2468923,167706,23871,77605,1874,96030,327739,0.852,0.058,0.008,0.027,0.001,0.033,0.113
Kentucky,2016,4411989,3859516,350242,9052,57084,2584,92837,146945,0.875,0.079,0.002,0.013,0.001,0.021,0.033
Louisiana,2016,4645670,2909290,1494201,26403,78719,1464,85159,223408,0.626,0.322,0.006,0.017,0.0,0.018,0.048
Maine,2016,1329923,1260476,16303,8013,14643,211,27126,19772,0.948,0.012,0.006,0.011,0.0,0.02,0.015
Maryland,2016,5959902,3408240,1765926,15946,362259,2792,186153,550146,0.572,0.296,0.003,0.061,0.0,0.031,0.092
Massachusetts,2016,6742143,5343665,489233,13931,411736,2002,203014,731739,0.793,0.073,0.002,0.061,0.0,0.03,0.109
