State,year,Poverty(Pop),Income ($)
Alabama,2013,4799277,17080
Alaska,2013,720316,1339
Arizona,2013,6479703,14439
Arkansas,2013,2933369,14924
California,2013,37659181,39529
Colorado,2013,5119329,9383
Connecticut,2013,3583561,3549
Delaware,2013,908446,1620
District of Columbia,2013,619371,110
Florida,2013,19091156,41961
Georgia,2013,9810417,24683
Hawaii,2013,1376298,818
Idaho,2013,1583364,7852
Illinois,2013,12848554,27423
Indiana,2013,6514861,29387
Iowa,2013,3062553,11312
Kansas,2013,2868107,9877
Kentucky,2013,4361333,29255
Louisiana,2013,4567968,13218
Maine,2013,1328320,6703
Maryland,2013,5834299,6376
Massachusetts,2013,6605058,10393
Michigan,2013,9886095,41465
Minnesota,2013,5347740,12278
Mississippi,2013,2976872,10118
Missouri,2013,6007182,26783
Montana,2013,998554,4445
Nebraska,2013,1841625,5227
Nevada,2013,2730066,5253
New Hampshire,2013,1319171,3568
New Jersey,2013,8832406,12133
New Mexico,2013,2069706,3231
New York,2013,19487053,44033
North Carolina,2013,9651380,28181
North Dakota,2013,689781,1530
Ohio,2013,11549590,52744
Oklahoma,2013,3785742,14259
Oregon,2013,3868721,14135
Pennsylvania,2013,12731381,38265
Rhode Island,2013,1051695,2003
South Carolina,2013,4679602,14752
South Dakota,2013,825198,2050
Tennessee,2013,6402387,29546
Texas,2013,25639373,38967
Utah,2013,2813673,11447
Vermont,2013,625904,2429
Virginia,2013,8100653,15285
Washington,2013,6819579,18270
West Virginia,2013,1853619,12297
Wisconsin,2013,5706871,17017
Wyoming,2013,570134,2273
Puerto Rico,2013,3682966,370
Alabama,2014,4817678,17913
Alaska,2014,728300,1236
Arizona,2014,6561516,14113
Arkansas,2014,2947036,14681
California,2014,38066920,39760
Colorado,2014,5197580,9236
Connecticut,2014,3592053,3683
Delaware,2014,917060,1498
District of Columbia,2014,633736,122
Florida,2014,19361792,42654
Georgia,2014,9907756,25107
Hawaii,2014,1392704,700
Idaho,2014,1599464,7954
Illinois,2014,12868747,27048
Indiana,2014,6542411,28974
Iowa,2014,3078116,11514
Kansas,2014,2882946,9915
Kentucky,2014,4383272,28704
Louisiana,2014,4601049,12897
Maine,2014,1328535,6383
Maryland,2014,5887776,6499
Massachusetts,2014,6657291,10580
Michigan,2014,9889024,41125
Minnesota,2014,5383661,12349
Mississippi,2014,2984345,10296
Missouri,2014,6028076,26343
Montana,2014,1006370,4440
Nebraska,2014,1855617,5311
Nevada,2014,2761584,5248
New Hampshire,2014,1321069,3877
New Jersey,2014,8874374,12459
New Mexico,2014,2080085,3115
New York,2014,19594330,45744
North Carolina,2014,9750405,28066
North Dakota,2014,704925,1736
Ohio,2014,11560380,53135
Oklahoma,2014,3818851,13783
Oregon,2014,3900343,14130
Pennsylvania,2014,12758729,37868
Rhode Island,2014,1053252,2037
South Carolina,2014,4727273,15772
South Dakota,2014,834708,2045
Tennessee,2014,6451365,29815
Texas,2014,26092033,40313
Utah,2014,2858111,10961
Vermont,2014,626358,2726
Virginia,2014,8185131,16007
Washington,2014,6899123,18025
West Virginia,2014,1853881,12346
Wisconsin,2014,5724692,16816
Wyoming,2014,575251,2221
Puerto Rico,2014,3638965,361
Alabama,2015,4830620,17762
Alaska,2015,733375,1305
Arizona,2015,6641928,14237
Arkansas,2015,2958208,14125
California,2015,38421464,40910
Colorado,2015,5278906,9022
Connecticut,2015,3593222,3768
Delaware,2015,926454,1575
District of Columbia,2015,647484,149
Florida,2015,19645772,42592
Georgia,2015,10006693,26079
Hawaii,2015,1406299,619
Idaho,2015,1616547,8508
Illinois,2015,12873761,26391
Indiana,2015,6568645,28779
Iowa,2015,3093526,11176
Kansas,2015,2892987,9412
Kentucky,2015,4397353,28310
Louisiana,2015,4625253,13663
Maine,2015,1329100,6342
Maryland,2015,5930538,6609
Massachusetts,2015,6705586,10653
Michigan,2015,9900571,39958
Minnesota,2015,5419171,12369
Mississippi,2015,2988081,9968
Missouri,2015,6045448,27234
Montana,2015,1014699,4548
Nebraska,2015,1869365,5289
Nevada,2015,2798636,5374
New Hampshire,2015,1324201,3954
New Jersey,2015,8904413,12538
New Mexico,2015,2084117,3142
New York,2015,19673174,45031
North Carolina,2015,9845333,27580
North Dakota,2015,721640,1581
Ohio,2015,11575977,50863
Oklahoma,2015,3849733,13398
Oregon,2015,3939233,13755
Pennsylvania,2015,12779559,37861
Rhode Island,2015,1053661,2101
South Carolina,2015,4777576,16005
South Dakota,2015,843190,2279
Tennessee,2015,6499615,29209
Texas,2015,26538614,40139
Utah,2015,2903379,10240
Vermont,2015,626604,2625
Virginia,2015,8256630,16493
Washington,2015,6985464,17677
West Virginia,2015,1851420,11734
Wisconsin,2015,5742117,15864
Wyoming,2015,579679,2095
Puerto Rico,2015,3583073,298
Puerto Rico,2017,3468963,355
Alabama,2017,4850771,16391
Alaska,2017,738565,1366
Arizona,2017,6809946,12766
Arkansas,2017,2977944,13084
California,2017,38982847,36309
Colorado,2017,5436519,8592
Connecticut,2017,3594478,3517
District of Columbia,2017,672391,191
Delaware,2017,943732,1418
Florida,2017,20278447,37705
Georgia,2017,10201635,22775
Hawaii,2017,1421658,342
Idaho,2017,1657375,8117
Illinois,2017,12854526,25117
Indiana,2017,6614418,26139
Iowa,2017,3118102,10070
Kansas,2017,2903820,9091
Kentucky,2017,4424376,27825
Maine,2017,1330158,5528
Louisiana,2017,4663461,13233
Massachusetts,2017,6789319,9693
Maryland,2017,5996079,5923
Michigan,2017,9925568,36454
Minnesota,2017,5490726,11133
Mississippi,2017,2986220,9231
Missouri,2017,6075300,26552
Montana,2017,1029862,4194
Nebraska,2017,1893921,4798
New Hampshire,2017,1331848,3301
Nevada,2017,2887725,4155
New Jersey,2017,8960161,12720
New Mexico,2017,2084828,2968
New York,2017,19798228,41988
North Carolina,2017,10052564,25215
North Dakota,2017,745475,1609
Ohio,2017,11609756,45151
Oklahoma,2017,3896251,13410
Oregon,2017,4025127,12818
Pennsylvania,2017,12790505,35048
Rhode Island,2017,1056138,2062
South Carolina,2017,4893444,14088
South Dakota,2017,855444,2546
Tennessee,2017,6597381,26382
Texas,2017,27419612,37385
Utah,2017,2993941,8974
Vermont,2017,624636,2447
Virginia,2017,8365952,15645
West Virginia,2017,1836843,12325
Washington,2017,7169967,15871
Wyoming,2017,583200,1635
Wisconsin,2017,5763217,14494
Alabama,2016,4841164,17479
Alaska,2016,736855,1317
Arizona,2016,6728577,13351
Arkansas,2016,2968472,13707
California,2016,38654206,39279
Colorado,2016,5359295,8674
Connecticut,2016,3588570,3644
Delaware,2016,934695,1572
District of Columbia,2016,659009,180
Florida,2016,19934451,39229
Georgia,2016,10099320,24404
Hawaii,2016,1413673,475
Idaho,2016,1635483,8438
Illinois,2016,12851684,25755
Indiana,2016,6589578,27415
Iowa,2016,3106589,10870
Kansas,2016,2898292,9665
Kentucky,2016,4411989,28541
Louisiana,2016,4645670,13756
Maine,2016,1329923,6134
Maryland,2016,5959902,6324
Massachusetts,2016,6742143,10375
Michigan,2016,9909600,38168
Minnesota,2016,5450868,11470
Mississippi,2016,2989192,10045
Missouri,2016,6059651,27054
Montana,2016,1023391,4545
Nebraska,2016,1881259,4963
Nevada,2016,2839172,4781
New Hampshire,2016,1327503,3561
New Jersey,2016,8915456,12836
New Mexico,2016,2082669,2942
New York,2016,19697457,43798
North Carolina,2016,9940828,26704
North Dakota,2016,736162,1633
Ohio,2016,11586941,48630
Oklahoma,2016,3875589,13482
Oregon,2016,3982267,12785
Pennsylvania,2016,12783977,37321
Rhode Island,2016,1054491,2174
South Carolina,2016,4834605,14918
South Dakota,2016,851058,2372
Tennessee,2016,6548009,27749
Texas,2016,26956435,39061
Utah,2016,2948427,9466
Vermont,2016,626249,2466
Virginia,2016,8310301,16224
Washington,2016,7073146,16569
West Virginia,2016,1846092,12120
Wisconsin,2016,5754798,15052
Wyoming,2016,583029,1894
Puerto Rico,2016,3529385,353
Puerto Rico,2017,3468963,355
Alabama,2017,4850771,16391
Alaska,2017,738565,1366
Arizona,2017,6809946,12766
Arkansas,2017,2977944,13084
California,2017,38982847,36309
Colorado,2017,5436519,8592
Connecticut,2017,3594478,3517
District of Columbia,2017,672391,191
Delaware,2017,943732,1418
Florida,2017,20278447,37705
